Sample,Phase,Density,VRH,C11,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26,C33,C34,C35,C36,C44,C45,C46,C55,C56,C66,Quartz,Feldspar,Biotite,Muscovite,Chlorite,Hornblende,Garnet,Pyrite,AH,AI,AJ,AK,AL,AM,AN
17,2,2.686,2,0.94381,0.39936,0.38264,-0.0031671,0.0058134,-0.00036605,0.97641,0.3961,-0.0024248,0.0080235,0.00099977,0.9442,-0.0014483,0.0087967,-0.0008809,0.28287,-0.0015974,0.0020651,0.2841,-0.0024379,0.28209,0,1,0,0,0,0,0,0,0,0,0,0,,,
17,9,2.56,1,1.0254,0.37464,0.38942,-0.01257,-0.0057034,-0.0050354,1.0095,0.39908,0.0022765,-0.0049595,0.0004909,1.0279,-0.0062117,-0.003599,-0.0057343,0.33563,-0.004184,-0.0026378,0.32376,0.0044557,0.32675,0,0,0,0,0,0,0,0,1,0,0,0,,,
17,9,2.56,2,0.82312,0.3421,0.35476,-0.011468,-0.0037399,-0.0029661,0.81313,0.36423,-0.0033115,-0.0040471,-0.00064674,0.82952,-0.007607,-0.0020053,-0.0032508,0.24823,-0.0011529,-0.00073094,0.24002,0.0016542,0.24081,0,0,0,0,0,0,0,0,1,0,0,0,,,
17,4,2.83,1,1.5272,0.33985,0.4105,-0.018838,-0.0095225,0.06312,0.86729,0.35536,-0.036773,-0.0021877,0.018262,1.4862,-0.11295,-0.0081256,0.011497,0.34639,0.030549,-0.0061736,0.54692,-0.053064,0.33638,0,0,0,1,0,0,0,0,0,0,0,0,,,
17,4,2.83,2,1.1109,0.28472,0.33215,-0.014417,-0.019643,0.047353,0.67585,0.29749,-0.016573,-0.0056673,0.0079395,1.0778,-0.080958,-0.018253,0.010654,0.23774,0.024546,-0.0053764,0.38239,-0.03972,0.23064,0,0,0,1,0,0,0,0,0,0,0,0,,,
17,10,2.712,1,1.3129,0.50798,0.52245,-0.0021446,-0.012588,-0.005753,1.1783,0.50622,-0.023958,0.0020063,0.0022417,1.2775,-0.021354,-0.028151,0.0060937,0.35078,0.0064555,-0.0034212,0.38814,-0.0087945,0.35773,0,0,0,0,0,0,0,0,0,1,0,0,,,
17,10,2.712,2,1.1282,0.51738,0.54841,-0.0093686,-0.013787,-0.0034555,1.0114,0.51172,-0.01758,-0.0052879,0.00081809,1.0967,-0.019149,-0.024514,0.005727,0.26198,0.0054297,-0.00075775,0.28274,-0.0047849,0.26388,0,0,0,0,0,0,0,0,0,1,0,0,,,
17,11,5.15,1,2.6674,1.4491,1.4545,-0.0027145,-0.0048408,-0.0038238,2.6625,1.4593,-0.0011445,-0.0021907,0.0020776,2.6572,0.0038589,0.0070315,0.0017462,0.60933,0.0017462,-0.0021907,0.60449,-0.0027145,0.59912,0,0,0,0,0,0,0,0,0,0,1,0,,,
17,11,5.15,2,2.6648,1.4504,1.4558,-0.0028016,-0.0049445,-0.0038622,2.6598,1.4608,-0.001164,-0.0021985,0.0021415,2.6544,0.0039656,0.007143,0.0017207,0.60741,0.0018468,-0.0022325,0.60247,-0.0027334,0.59699,0,0,0,0,0,0,0,0,0,0,1,0,,,
17,12,3.82,1,4.4917,0.91482,1.5373,-0.15304,-0.0059544,0.084869,3.7191,0.93289,0.087219,0.0090908,-0.041224,4.4391,-0.25329,-0.029249,0.071031,1.2562,-0.0071125,0.0017584,1.4391,-0.093731,1.2498,0,0,0,0,0,0,0,0,0,0,0,1,,,
17,12,3.82,2,4.2638,0.98434,1.5162,-0.12636,-0.018316,0.0834,3.6366,0.98188,0.091993,0.022949,-0.045897,4.2579,-0.23166,-0.041233,0.064139,1.1776,-0.0076267,-0.0072949,1.3631,-0.10203,1.1424,0,0,0,0,0,0,0,0,0,0,0,1,,,
17,7,3.81,1,2.9714,1.0763,1.0772,0.00021984,0.00094859,0.0015577,2.9715,1.0772,0.001751,-0.00025462,-0.0018246,2.9706,-0.0019708,-0.00069397,0.00026689,0.94722,0.00026689,-0.00025462,0.94722,0.00021984,0.94633,0,0,0,0,0,0,1,0,0,0,0,0,,,
17,7,3.81,2,2.9712,1.0764,1.0773,0.00021776,0.00094432,0.0015494,2.9712,1.0773,0.0017424,-0.0002537,-0.0018149,2.9704,-0.0019602,-0.00069062,0.00026554,0.94707,0.0002661,-0.00025482,0.94707,0.0002194,0.94618,0,0,0,0,0,0,1,0,0,0,0,0,,,
17,5,2.95,1,1.4915,0.57326,0.59751,-0.0089192,-0.029465,0.014273,1.2024,0.55303,0.0060899,-0.0032774,0.0046564,1.4577,-0.017117,-0.033356,0.0072961,0.30777,0.011031,-0.012691,0.39975,-0.01176,0.33568,0,0,0,0,1,0,0,0,0,0,0,0,,,
17,5,2.95,2,1.134,0.58731,0.57695,-0.0058275,-0.01775,0.0087856,0.97713,0.57276,0.0055567,0.0020052,0.00017146,1.1197,-0.01147,-0.022053,0.0046302,0.17851,0.0078058,-0.0063111,0.23477,-0.0088212,0.19325,0,0,0,0,1,0,0,0,0,0,0,0,,,
